,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9208211143695014,0.6792452830188679,0.875,0.8873239436619719,0.8250221324627898,0.8835987832600649
recall,0.9457831325301205,0.6101694915254238,0.8,0.8873239436619719,0.7853175413518482,0.8873239436619719
f1-score,0.9331352154531947,0.6428571428571429,0.835820895522388,0.8873239436619719,0.8039377512775753,0.884937075827032
support,332.0,59.0,35.0,0.8873239436619719,426.0,426.0
