,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9504373177842566,0.8541666666666666,0.8571428571428571,0.931924882629108,0.8872489471979268,0.9294390207457899
recall,0.9819277108433735,0.6949152542372882,0.8571428571428571,0.931924882629108,0.844661940741173,0.931924882629108
f1-score,0.965925925925926,0.7663551401869159,0.8571428571428571,0.931924882629108,0.8631413077518997,0.9293482645033696
support,332.0,59.0,35.0,0.931924882629108,426.0,426.0
