,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9378698224852071,0.7307692307692307,0.8055555555555556,0.9014084507042254,0.8247315362699977,0.8983159862087272
recall,0.9548192771084337,0.6440677966101694,0.8285714285714286,0.9014084507042254,0.8091528340966773,0.9014084507042254
f1-score,0.9462686567164179,0.6846846846846847,0.8169014084507042,0.9014084507042254,0.8159515832839356,0.8994111261080323
support,332.0,59.0,35.0,0.9014084507042254,426.0,426.0
